generator,prompt_regime,class_name,band,real_test_images,test_limited,ap_mean,ap_std
realvisxl-lightning,maxlen,american black bear,D,2097,False,0.07236539199948311,0.0014118930833346306
realvisxl-lightning,maxlen,aye-aye,A,29,True,0.001879547897260636,0.0006062689979848605
realvisxl-lightning,maxlen,grevy's zebra,B,224,False,0.0063629006035625935,7.460387313133033e-05
realvisxl-lightning,maxlen,kinkajou,A,160,False,0.005265006446279585,0.00464051998019465
realvisxl-lightning,maxlen,lion,D,2097,False,0.027816765010356903,0.0010316916312739196
realvisxl-lightning,maxlen,mountain zebra,D,467,False,0.05266127549111843,0.0005504194023060525
realvisxl-lightning,maxlen,pangolin family,A,52,False,0.005526433233171701,0.00048178194241704563
realvisxl-lightning,maxlen,plains zebra,D,2079,False,0.0671343095600605,0.019954188351459904
realvisxl-lightning,maxlen,red fox,D,2150,False,0.03286031633615494,0.004280328567645121
realvisxl-lightning,maxlen,ringtail,A,186,False,0.0016648554883431643,0.0010848875806987793
realvisxl-lightning,maxlen,saiga,A,50,False,0.0013246860180515796,0.0004990576639720515
realvisxl-lightning,maxlen,water deer,A,151,False,0.003297876799479127,0.0019238966210397654
sd35m,maxlen,american black bear,D,2097,False,0.1871461719274521,0.024170754005664107
sd35m,maxlen,aye-aye,A,29,True,0.0009024460159707814,0.000217989715512138
sd35m,maxlen,grevy's zebra,B,224,False,0.025654518976807594,0.0010746392699065206
sd35m,maxlen,kinkajou,A,160,False,0.0024941092706285417,0.0010197335331437788
sd35m,maxlen,lion,D,2097,False,0.07736480236053467,0.008469230084157984
sd35m,maxlen,mountain zebra,D,467,False,0.045232102274894714,0.012077290076274026
sd35m,maxlen,pangolin family,A,52,False,0.0026211662916466594,0.0009279341574103213
sd35m,maxlen,plains zebra,D,2079,False,0.13392215222120285,0.01788289728646021
sd35m,maxlen,red fox,D,2150,False,0.14126784354448318,0.010690874762864231
sd35m,maxlen,ringtail,A,186,False,0.0017772270366549492,0.0004117533072549253
sd35m,maxlen,saiga,A,50,False,0.011534207034856081,0.00010230554785962342
sd35m,maxlen,water deer,A,151,False,0.015290972776710987,0.002658577105951637
flux2-klein-9b,maxlen,american black bear,D,2097,False,0.11842884868383408,0.00469305158168805
flux2-klein-9b,maxlen,aye-aye,A,29,True,0.006625397363677621,0.0022054481058046654
flux2-klein-9b,maxlen,grevy's zebra,B,224,False,0.017504900693893433,0.005973507083763426
flux2-klein-9b,maxlen,kinkajou,A,160,False,0.006358684506267309,0.0021506028728185945
flux2-klein-9b,maxlen,lion,D,2097,False,0.0367418359965086,0.0013855486688372901
flux2-klein-9b,maxlen,mountain zebra,D,467,False,0.02978905476629734,0.0022733351542268258
flux2-klein-9b,maxlen,pangolin family,A,52,False,0.0011324216320645064,0.00033536235012408854
flux2-klein-9b,maxlen,plains zebra,D,2079,False,0.1335565224289894,0.010204078662563405
flux2-klein-9b,maxlen,red fox,D,2150,False,0.08658665046095848,0.0042490398009818455
flux2-klein-9b,maxlen,ringtail,A,186,False,0.0008076440135482699,0.00028404271747956673
flux2-klein-9b,maxlen,saiga,A,50,False,0.002278679923620075,0.0014486574006275915
flux2-klein-9b,maxlen,water deer,A,151,False,0.0017630428774282336,0.00011264601372396808
sd35-large-turbo,maxlen,american black bear,D,2097,False,0.1737360805273056,0.03224187549550032
sd35-large-turbo,maxlen,aye-aye,A,29,True,0.007820588303729892,0.003720932215878502
sd35-large-turbo,maxlen,grevy's zebra,B,224,False,0.015234895516186953,0.0011084351155116858
sd35-large-turbo,maxlen,kinkajou,A,160,False,0.003040654060896486,0.0024285561527099403
sd35-large-turbo,maxlen,lion,D,2097,False,0.05263424478471279,0.015287233571534194
sd35-large-turbo,maxlen,mountain zebra,D,467,False,0.02801891602575779,0.001013033748273753
sd35-large-turbo,maxlen,pangolin family,A,52,False,0.003291945206001401,0.002610422026622162
sd35-large-turbo,maxlen,plains zebra,D,2079,False,0.15142527967691422,0.0037463174602999656
sd35-large-turbo,maxlen,red fox,D,2150,False,0.07604371756315231,0.012261698343577378
sd35-large-turbo,maxlen,ringtail,A,186,False,0.0013524257228709757,0.00024554399974773824
sd35-large-turbo,maxlen,saiga,A,50,False,0.0005406557902460918,0.0003904359128387865
sd35-large-turbo,maxlen,water deer,A,151,False,0.00512171967420727,0.0020873863866831743
sd35-large,maxlen,american black bear,D,2097,False,0.1834459751844406,0.01777821505147128
sd35-large,maxlen,aye-aye,A,29,True,0.0021892074728384614,0.0008613125022602495
sd35-large,maxlen,grevy's zebra,B,224,False,0.032543850131332874,0.017224393608236986
sd35-large,maxlen,kinkajou,A,160,False,0.005821139784529805,0.0015369194045364199
sd35-large,maxlen,lion,D,2097,False,0.08030625060200691,0.017548709656261267
sd35-large,maxlen,mountain zebra,D,467,False,0.03589645214378834,0.0036729529679326587
sd35-large,maxlen,pangolin family,A,52,False,0.01431720843538642,0.002009125121990635
sd35-large,maxlen,plains zebra,D,2079,False,0.16699997335672379,0.008088349014165035
sd35-large,maxlen,red fox,D,2150,False,0.10279764607548714,0.0020566239617179046
sd35-large,maxlen,ringtail,A,186,False,0.007953396299853921,0.006227834009296066
sd35-large,maxlen,saiga,A,50,False,0.006529214791953564,0.00207903949968062
sd35-large,maxlen,water deer,A,151,False,0.017862887121737003,0.003385096578048332
hidream-i1,maxlen,american black bear,D,2097,False,0.08779121935367584,0.02891083093357819
hidream-i1,maxlen,aye-aye,A,29,True,0.0011273912678007036,0.0007633768499604406
hidream-i1,maxlen,grevy's zebra,B,224,False,0.009847179986536503,0.00851048526340507
hidream-i1,maxlen,kinkajou,A,160,False,0.0005141001602169126,7.95498304995028e-05
hidream-i1,maxlen,lion,D,2097,False,0.03540456295013428,0.0002806769376582988
hidream-i1,maxlen,mountain zebra,D,467,False,0.04709012433886528,0.0036718861258297265
hidream-i1,maxlen,pangolin family,A,52,False,0.021794352680444717,0.00698148057603784
hidream-i1,maxlen,plains zebra,D,2079,False,0.08870532363653183,0.02538956710761427
hidream-i1,maxlen,red fox,D,2150,False,0.05022416263818741,0.0005241224030132866
hidream-i1,maxlen,ringtail,A,186,False,0.0008548919577151537,0.00012754393685580713
hidream-i1,maxlen,saiga,A,50,False,0.0027594903658609837,0.002636681530037005
hidream-i1,maxlen,water deer,A,151,False,0.0074068071553483605,0.00651188746928292
gemini-3.1-flash-image-preview,full,american black bear,D,2097,False,0.16720010340213776,0.0
gemini-3.1-flash-image-preview,full,aye-aye,A,29,True,0.024443095549941063,0.0
gemini-3.1-flash-image-preview,full,grevy's zebra,B,224,False,0.11880235373973846,0.0
gemini-3.1-flash-image-preview,full,kinkajou,A,160,False,0.012055527418851852,0.0
gemini-3.1-flash-image-preview,full,lion,D,2097,False,0.031010935083031654,0.0
gemini-3.1-flash-image-preview,full,mountain zebra,D,467,False,0.10552748292684555,0.0
gemini-3.1-flash-image-preview,full,pangolin family,A,52,False,0.004144907929003239,0.0
gemini-3.1-flash-image-preview,full,plains zebra,D,2079,False,0.20667831599712372,0.0
gemini-3.1-flash-image-preview,full,red fox,D,2150,False,0.08476731181144714,0.0
gemini-3.1-flash-image-preview,full,ringtail,A,186,False,0.0014150619972497225,0.0
gemini-3.1-flash-image-preview,full,saiga,A,50,False,0.009831429459154606,0.0
gemini-3.1-flash-image-preview,full,water deer,A,151,False,0.002996646799147129,0.0
